seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
9568400,96,63,1,16,0.0022645,1,14,0.007419109
2674823,55,126,1,41,0.004882097,1,37,0.122526407
9234355,60,84,1,59,0.008557558,0,10,0.114537001
9152761,62,60,1,29,0.004621744,1,28,0.0244205
8680818,88,102,1,70,0.011822701,0,25,0.246420622
4174429,36,93,1,4,0.000477076,1,4,0.000480175
9849446,104,61,0,86,0.012767553,0,74,1.24142766
8569302,81,89,1,63,0.009450674,0,34,0.232250929
3328229,33,49,1,49,0.004675865,1,6,0.000745058
9129472,98,43,1,12,0.001607418,1,12,0.006859779
4408519,76,120,1,63,0.012017965,0,33,0.246773243
7066811,75,54,1,47,0.006827593,1,43,0.128102064
2190849,61,54,1,11,0.001526594,1,11,0.005067348
921409,126,98,1,259,0.049310684,0,41,0.873568058
1835932,115,117,1,37,0.010501146,1,37,0.077489376
9356360,81,97,1,100,0.013719559,0,1,0.011204958
8898589,65,89,1,37,0.006389618,0,21,0.055533409
4495509,80,33,1,45,0.005081892,1,45,0.090210915
3528158,113,125,1,86,0.015357256,1,52,0.110809326
2455621,85,108,1,48,0.008576155,1,48,0.307136774
5329703,47,36,1,25,0.003148079,1,21,0.019412279
4165860,128,98,0,21,0.004995823,0,82,1.237638235
888375,52,69,1,37,0.004655838,1,37,0.04109931
2726692,66,106,1,50,0.008337259,1,40,0.156154156
7844318,84,74,1,14,0.002179384,1,14,0.006183624
3678284,100,64,1,72,0.010522842,0,9,0.105321884
4616923,125,101,1,49,0.008949757,1,45,0.082613468
7486316,108,32,1,9,0.000906467,1,9,0.002453566
6183737,101,42,1,22,0.00249505,1,18,0.014249802
9413308,114,48,1,8,0.000828266,1,8,0.002123594
1926083,71,106,1,35,0.004687786,1,34,0.105785131
5036256,90,42,1,19,0.00250268,1,19,0.014880657
8855399,83,54,1,30,0.003891945,1,27,0.053550959
1777078,38,121,1,7,0.000729799,1,7,0.001324415
6562313,94,75,1,74,0.0100317,0,30,0.356869459
8377502,90,124,1,78,0.012639046,0,51,1.117138624
4217215,37,67,1,50,0.005836964,1,48,0.229943991
7742467,39,127,1,24,0.002869606,1,24,0.029706478
5846063,59,42,1,10,0.001280069,1,10,0.003035069
6699253,113,122,1,85,0.01862216,1,69,0.449993134
9950365,48,81,1,25,0.003176212,1,24,0.033600807
3407528,34,123,1,21,0.002164364,1,21,0.028246403
7973668,62,93,1,106,0.01647234,0,76,1.584171534
217953,41,105,1,51,0.006287813,1,51,0.103096962
7652350,39,97,1,215,0.022476912,0,8,0.088249922
2147785,104,62,1,30,0.003899097,0,17,0.042345047
9000158,90,81,1,66,0.010780573,0,8,0.053689957
6788683,99,37,1,118,0.013514996,1,51,0.309542418
7273128,66,69,1,20,0.003108025,1,20,0.021210432
